BCS,Age,Sex,Length,Girth,Height,Weight,WeightAlt
3.0,5-10,stallion,81,111,101,126,
2.5,2-5,female,94,100,97,126,
3.0,2-5,stallion,87,111,98,126,126.0
1.5,15-20,gelding,94,111,105,126,
3.0,2-5,female,98,109,97,126,
3.0,10-15,female,91,112,100,127,126.0
2.5,5-10,female,93,111,94,127,
2.5,<2,female,87,112,98,127,
3.0,5-10,stallion,90,115,99,129,
3.0,5-10,gelding,83,115,96,129,
2.5,5-10,stallion,86,112,98,129,
2.5,2-5,female,86,112,102,130,
3.0,<2,stallion,98,110,101,130,
2.5,2-5,female,88,111,102,130,
2.5,2-5,stallion,84,114,98,130,
2.5,10-15,female,95,114,99,130,
3.0,2-5,female,95,110,97,130,
2.5,5-10,stallion,94,108,96,131,
1.5,5-10,female,92,113,97,131,
2.0,2-5,stallion,97,111,102,132,
3.0,2-5,female,91,111,103,132,
3.0,2-5,female,98,113,101,132,
3.0,2-5,female,85,113,102,132,
2.5,2-5,female,85,112,98,132,
2.5,2-5,female,90,112,104,133,
3.0,2-5,stallion,97,103,94,133,
2.0,2-5,stallion,93,107,101,133,
2.5,10-15,female,87,115,98,133,
2.5,5-10,stallion,88,111,101,134,
2.5,15-20,stallion,89,110,94,134,
3.0,2-5,female,86,115,100,134,
2.5,>20,stallion,95,111,100,134,134.0
3.0,10-15,female,96,118,97,135,
2.5,15-20,gelding,94,117,104,135,
2.5,10-15,female,98,114,101,136,
3.0,10-15,female,100,115,101,136,
3.0,10-15,stallion,99,116,105,136,
2.0,15-20,female,93,117,98,136,
2.5,>20,gelding,90,114,104,136,
2.5,2-5,female,96,113,101,136,
3.0,10-15,female,92,116,103,137,
2.5,10-15,stallion,93,116,105,137,
3.0,>20,female,96,112,99,137,
3.0,5-10,female,102,113,102,138,
2.0,10-15,female,98,111,101,138,
2.0,10-15,stallion,97,112,100,138,
3.0,2-5,stallion,90,107,98,138,
2.5,2-5,female,93,115,103,139,
3.0,2-5,stallion,91,112,100,139,
2.5,10-15,female,100,117,100,139,
2.5,>20,gelding,95,113,97,139,
2.5,2-5,female,99,111,101,139,
3.0,2-5,stallion,85,114,98,140,
3.0,10-15,gelding,85,113,98,140,
2.5,2-5,female,92,113,97,140,140.0
2.5,10-15,female,92,112,97,140,
2.5,10-15,stallion,89,114,102,141,
3.0,<2,stallion,92,110,99,141,
3.0,5-10,female,90,113,104,141,
2.0,>20,stallion,93,115,103,141,
3.0,5-10,female,94,109,98,141,
3.0,<2,stallion,93,112,101,142,
2.5,2-5,stallion,90,113,105,142,143.0
3.0,10-15,female,97,114,99,142,
3.0,10-15,stallion,99,110,96,142,
3.0,2-5,stallion,92,112,98,142,
2.5,2-5,stallion,97,113,102,142,
3.0,2-5,female,94,112,101,142,
2.5,>20,female,94,115,100,142,
3.0,5-10,stallion,93,116,100,142,
2.5,10-15,stallion,95,115,99,142,
3.0,2-5,stallion,92,111,96,142,
2.5,10-15,female,96,116,100,143,
3.0,10-15,female,93,120,98,143,
2.5,10-15,stallion,98,115,103,143,143.0
2.5,5-10,stallion,96,115,98,143,
3.0,5-10,female,91,111,99,143,
2.5,10-15,female,95,116,100,143,
2.5,>20,female,101,118,104,143,
3.0,15-20,stallion,97,118,103,143,
2.5,5-10,female,93,114,97,144,
3.0,10-15,gelding,98,113,95,144,
3.0,10-15,stallion,103,116,99,144,
3.0,2-5,female,95,112,102,144,144.0
3.0,5-10,stallion,90,118,99,144,144.0
3.0,10-15,stallion,93,112,99,144,
3.0,5-10,female,98,113,104,144,
2.5,2-5,stallion,93,120,100,144,
3.0,5-10,gelding,100,115,101,145,
3.0,2-5,stallion,91,117,103,145,
3.0,2-5,stallion,86,114,105,145,
2.5,2-5,female,92,117,102,145,
3.0,10-15,stallion,92,113,98,145,
2.5,10-15,stallion,98,117,105,145,
2.5,10-15,stallion,92,115,98,145,
3.0,10-15,stallion,98,115,101,145,
3.0,15-20,stallion,99,115,101,145,
3.0,5-10,stallion,99,116,101,145,
3.0,2-5,stallion,93,110,100,146,
2.5,10-15,stallion,97,116,102,146,
2.5,10-15,stallion,101,120,106,146,
3.0,10-15,stallion,91,118,102,146,
3.0,2-5,stallion,94,116,103,146,
3.0,10-15,female,94,113,103,146,
3.0,2-5,stallion,94,113,98,146,146.0
3.0,10-15,female,92,111,101,146,
3.0,2-5,stallion,100,120,98,147,
3.0,>20,gelding,101,117,100,147,
2.5,10-15,female,97,113,99,147,
3.0,2-5,female,99,114,101,147,
2.0,10-15,stallion,94,111,100,148,
3.0,10-15,gelding,84,119,98,148,
3.0,5-10,female,101,115,101,148,
3.5,10-15,stallion,92,115,99,148,
3.0,10-15,stallion,102,115,99,149,149.0
3.0,10-15,female,92,120,100,149,
3.0,2-5,stallion,96,112,100,149,149.0
3.0,5-10,stallion,93,116,98,149,
2.5,10-15,female,94,121,99,149,
2.5,10-15,stallion,97,119,99,149,
2.5,>20,female,91,113,99,150,
3.5,5-10,stallion,99,114,99,150,
3.0,10-15,gelding,94,111,99,150,
3.0,5-10,female,98,114,100,150,
3.0,<2,female,95,115,106,150,
3.0,10-15,female,108,115,100,150,
3.0,10-15,gelding,94,112,100,151,
2.0,5-10,female,96,116,102,151,
3.0,2-5,stallion,89,121,106,151,
3.0,2-5,stallion,94,114,102,151,
3.0,2-5,female,99,118,102,151,
3.0,10-15,female,90,116,97,152,
3.0,5-10,gelding,96,118,101,152,
3.0,10-15,female,98,112,99,152,
3.0,>20,female,94,120,104,152,
2.5,10-15,gelding,93,115,106,152,
3.0,5-10,stallion,99,114,100,152,
2.5,2-5,female,95,116,102,152,151.0
3.0,10-15,stallion,92,117,102,152,
3.5,10-15,stallion,98,116,99,152,
3.0,2-5,female,92,116,103,153,
3.0,>20,gelding,95,120,103,153,
2.5,10-15,female,100,124,108,153,
2.5,10-15,stallion,98,115,104,153,
2.0,10-15,gelding,93,115,100,154,
3.0,10-15,gelding,96,117,98,154,
3.0,2-5,stallion,96,116,103,154,
3.5,2-5,gelding,100,113,105,154,
3.0,10-15,stallion,90,118,103,154,
2.5,10-15,stallion,100,114,102,154,
3.0,10-15,gelding,100,116,105,154,
3.0,5-10,stallion,91,111,100,155,
2.5,10-15,female,101,120,102,155,
3.0,10-15,gelding,101,116,100,155,
3.0,5-10,female,104,117,103,155,
2.5,15-20,gelding,103,116,107,155,
3.0,10-15,stallion,95,118,107,155,
2.5,10-15,stallion,95,119,104,156,
3.0,10-15,female,93,122,102,156,
3.0,10-15,stallion,100,115,103,156,
2.5,>20,stallion,98,119,103,156,
3.0,2-5,stallion,100,115,102,156,
3.0,10-15,gelding,92,120,106,156,
3.0,10-15,female,90,119,101,156,
3.5,5-10,female,94,118,99,157,
3.0,>20,stallion,97,118,103,157,
2.5,5-10,female,108,117,98,157,
2.5,10-15,stallion,96,115,101,157,
2.5,10-15,stallion,96,116,103,157,
3.0,10-15,stallion,105,119,102,157,
3.0,5-10,female,91,116,102,157,
3.0,10-15,gelding,97,115,100,158,
3.5,10-15,female,96,116,99,158,
3.0,5-10,female,105,116,104,158,
3.0,10-15,stallion,94,118,105,158,
3.0,10-15,gelding,95,119,102,158,
3.0,10-15,female,95,116,101,158,
3.0,10-15,stallion,91,116,105,158,
2.5,10-15,gelding,89,121,106,158,
3.0,5-10,stallion,89,116,103,158,
3.0,10-15,gelding,98,120,103,158,157.0
3.0,10-15,female,97,119,103,159,
3.0,2-5,female,106,118,105,159,
3.0,15-20,female,97,116,99,159,
3.0,2-5,stallion,101,116,99,159,
3.0,10-15,gelding,106,113,103,159,
3.0,5-10,gelding,101,119,108,159,
3.5,10-15,stallion,99,117,100,160,
3.5,5-10,female,86,120,99,160,
3.5,2-5,stallion,96,115,104,160,
2.0,>20,gelding,94,116,106,160,
3.0,>20,gelding,98,117,106,160,
3.0,10-15,female,100,114,100,160,
3.0,2-5,female,98,123,105,160,
3.0,10-15,female,95,116,99,160,
3.0,>20,female,105,117,97,160,
3.0,10-15,stallion,96,112,100,160,
3.0,10-15,female,91,127,101,161,
3.0,10-15,stallion,94,120,107,161,
3.0,10-15,stallion,93,126,98,161,
3.0,>20,female,97,118,99,161,
2.5,5-10,female,98,120,108,161,
3.0,10-15,female,96,124,106,161,
3.0,10-15,female,91,121,100,162,
3.0,10-15,stallion,90,121,106,162,
3.0,10-15,female,103,122,100,162,
3.0,>20,female,101,117,105,162,
3.0,10-15,female,90,120,104,162,
3.0,15-20,stallion,90,117,103,162,
3.0,10-15,stallion,97,116,104,162,
3.0,10-15,stallion,97,120,103,162,
3.0,15-20,female,97,117,99,163,
3.0,10-15,female,104,122,101,163,
3.0,10-15,stallion,89,120,99,163,
3.0,>20,stallion,90,123,104,163,
3.0,10-15,female,98,126,101,163,
3.0,10-15,gelding,95,118,101,163,
3.0,10-15,stallion,98,120,102,163,
3.0,10-15,female,100,117,97,164,
2.5,>20,gelding,95,121,102,164,
3.0,>20,stallion,101,117,103,164,
3.0,5-10,stallion,100,120,107,164,
3.0,10-15,female,94,120,101,164,
3.0,5-10,stallion,100,115,105,164,
3.0,>20,gelding,100,117,103,165,
3.0,10-15,female,106,119,103,165,165.0
2.5,10-15,female,106,125,103,165,
3.0,10-15,female,102,122,101,165,
3.0,10-15,gelding,98,120,106,165,
3.0,10-15,female,98,119,97,165,
3.0,10-15,stallion,101,122,102,165,
3.0,10-15,gelding,89,119,103,165,
3.0,10-15,female,103,120,102,165,
3.0,10-15,female,104,117,103,165,
3.0,10-15,female,107,121,100,165,
3.5,5-10,female,95,123,99,166,166.0
2.5,10-15,female,103,119,107,166,
3.5,5-10,female,101,122,101,166,
3.0,5-10,female,99,119,102,166,
3.5,10-15,female,99,118,102,166,
3.5,10-15,stallion,91,122,106,166,
3.0,5-10,stallion,94,119,105,166,
3.0,5-10,female,97,116,102,167,
3.0,15-20,female,100,114,100,167,
3.0,10-15,stallion,96,120,104,167,
3.5,2-5,female,98,124,105,167,
3.0,10-15,female,93,125,107,167,
3.0,2-5,female,94,117,107,167,
2.5,10-15,female,98,120,98,167,
3.5,5-10,stallion,102,118,103,167,
3.0,10-15,stallion,99,121,103,168,
3.0,10-15,stallion,102,119,104,168,
2.5,10-15,stallion,99,116,105,168,
3.0,10-15,stallion,93,123,112,168,
3.0,10-15,female,100,119,102,168,
3.0,15-20,stallion,101,121,104,168,168.0
3.0,2-5,stallion,94,120,107,169,
3.0,5-10,stallion,98,121,107,169,
3.0,10-15,female,91,120,102,169,
3.0,10-15,female,99,121,104,169,
3.0,10-15,stallion,93,122,103,170,
3.0,5-10,stallion,98,119,106,170,
3.0,2-5,stallion,101,119,103,170,
3.0,10-15,stallion,95,122,105,170,
3.5,10-15,stallion,93,123,102,170,
3.0,10-15,female,107,114,98,170,
3.0,10-15,stallion,106,119,102,170,
3.0,15-20,gelding,96,122,102,170,
2.5,10-15,female,98,120,103,170,
2.5,>20,female,102,121,108,170,
3.0,10-15,gelding,99,123,106,171,
3.0,15-20,gelding,100,121,101,171,
3.0,10-15,gelding,108,123,102,171,
3.0,15-20,gelding,98,120,101,171,
3.0,10-15,stallion,96,121,103,171,
3.5,10-15,stallion,100,121,103,171,
3.0,5-10,female,101,121,101,172,
3.0,10-15,female,97,123,101,172,
2.5,10-15,stallion,97,119,109,172,
3.0,10-15,gelding,90,119,101,172,
3.5,15-20,gelding,101,122,101,172,
3.0,15-20,female,94,122,107,173,
2.5,>20,female,103,123,105,173,
3.0,10-15,stallion,107,115,103,173,
3.0,10-15,gelding,104,118,106,173,
3.5,10-15,female,104,121,99,173,
3.5,15-20,female,101,120,100,173,
3.0,>20,gelding,98,129,106,173,
3.5,10-15,gelding,98,123,106,173,
2.5,10-15,gelding,99,124,108,174,
3.0,10-15,stallion,90,123,102,174,
3.0,10-15,gelding,103,124,107,174,
2.5,10-15,stallion,103,118,103,174,
3.0,>20,female,103,121,106,174,
3.0,10-15,stallion,89,119,105,174,
3.0,10-15,stallion,100,120,103,174,
3.0,15-20,stallion,102,118,104,174,
3.5,10-15,gelding,99,125,104,175,
3.0,15-20,gelding,100,122,102,175,
4.0,10-15,female,104,118,100,175,
3.0,15-20,gelding,100,125,106,175,
3.0,10-15,female,104,122,103,176,
3.0,5-10,female,100,118,104,176,
3.5,>20,stallion,99,119,105,177,
3.0,5-10,gelding,98,128,104,177,
3.0,10-15,female,107,123,102,177,
3.5,10-15,female,98,120,101,177,
3.0,5-10,stallion,101,123,105,177,
3.0,5-10,female,97,121,102,177,
3.5,10-15,female,102,122,102,177,
3.0,10-15,female,106,121,104,178,
3.5,>20,gelding,101,121,104,178,
3.5,10-15,gelding,99,122,102,178,
3.0,10-15,gelding,103,123,105,178,
3.5,10-15,stallion,99,124,103,178,
4.0,10-15,female,96,121,99,178,
3.0,15-20,stallion,107,130,105,178,
3.5,10-15,female,103,120,98,178,
2.5,10-15,stallion,97,125,104,179,
3.5,10-15,female,102,121,97,179,
3.0,5-10,female,101,120,102,179,
3.5,10-15,female,99,119,105,179,
3.0,>20,female,102,121,102,179,
3.0,10-15,stallion,102,120,104,179,
3.0,>20,female,103,126,101,180,
3.0,10-15,female,101,117,103,180,
3.0,15-20,female,109,118,105,180,
3.5,10-15,female,99,125,103,180,
3.0,10-15,female,98,127,101,181,
3.0,10-15,female,103,115,103,181,
3.5,10-15,female,99,120,103,181,
3.0,10-15,female,102,119,98,181,
3.0,15-20,stallion,101,121,102,183,
3.0,10-15,gelding,101,125,107,183,
4.0,5-10,stallion,100,128,104,183,
2.5,5-10,stallion,100,123,105,183,
3.0,2-5,stallion,100,125,110,183,
3.0,5-10,female,103,122,108,183,
3.0,10-15,stallion,102,126,110,183,
3.5,10-15,female,108,121,101,183,
3.5,5-10,gelding,106,124,106,184,
3.5,2-5,female,101,123,98,184,
3.0,15-20,gelding,101,123,110,184,183.0
3.0,15-20,stallion,99,118,106,184,
2.5,10-15,female,103,122,104,185,
4.0,10-15,gelding,106,121,106,185,
3.5,15-20,female,104,112,105,185,
3.0,2-5,stallion,112,123,106,186,186.0
3.5,10-15,female,97,122,103,188,
3.0,10-15,gelding,102,123,103,188,
3.0,10-15,female,105,122,105,188,
3.0,10-15,stallion,105,122,109,189,
3.0,5-10,stallion,104,124,110,189,
3.0,10-15,female,104,122,105,189,
3.0,10-15,female,101,125,103,190,
4.0,10-15,stallion,97,123,102,190,
3.5,10-15,female,105,125,105,192,
3.0,10-15,female,111,127,106,192,
3.0,15-20,stallion,99,126,108,193,
3.0,15-20,stallion,104,131,108,193,
3.5,10-15,female,102,125,101,194,
3.5,10-15,stallion,100,125,107,195,
3.5,10-15,stallion,105,128,105,195,
3.5,5-10,female,111,128,101,196,
4.0,10-15,stallion,105,125,110,199,
4.0,10-15,stallion,106,126,103,200,
4.0,10-15,stallion,110,125,105,202,
2.5,10-15,gelding,111,132,111,204,
4.0,10-15,gelding,101,134,110,210,
3.5,10-15,stallion,108,128,113,212,
4.0,>20,gelding,103,128,108,213,
3.5,15-20,gelding,106,129,110,214,
4.0,10-15,gelding,108,134,116,230,
