,Unnamed: 0,BCS,Age,Sex,Length,Girth,Height,Weight,WeightAlt
245,536,3.0,5-10,stallion,99,114,100,152,
247,75,3.0,10-15,stallion,92,117,102,152,
251,458,3.0,>20,gelding,95,120,103,153,
256,73,3.0,10-15,gelding,96,117,98,154,
260,315,3.0,10-15,stallion,90,118,103,154,
262,206,3.0,10-15,gelding,100,116,105,154,
263,154,3.0,5-10,stallion,91,111,100,155,
266,197,3.0,10-15,gelding,101,116,100,155,
267,297,3.0,5-10,female,104,117,103,155,
270,113,3.0,10-15,stallion,95,118,107,155,
272,288,3.0,10-15,female,93,122,102,156,
273,412,3.0,10-15,stallion,100,115,103,156,
277,305,3.0,10-15,gelding,92,120,106,156,
278,415,3.0,10-15,female,90,119,101,156,
281,110,3.0,>20,stallion,97,118,103,157,
286,166,3.0,10-15,stallion,105,119,102,157,
287,306,3.0,5-10,female,91,116,102,157,
288,255,3.0,10-15,gelding,97,115,100,158,
291,147,3.0,5-10,female,105,116,104,158,
292,445,3.0,10-15,stallion,94,118,105,158,
293,358,3.0,10-15,gelding,95,119,102,158,
295,282,3.0,10-15,female,95,116,101,158,
296,184,3.0,10-15,stallion,91,116,105,158,
298,383,3.0,5-10,stallion,89,116,103,158,
300,449,3.0,10-15,gelding,98,120,103,158,157.0
301,324,3.0,10-15,female,97,119,103,159,
303,84,3.0,15-20,female,97,116,99,159,
306,122,3.0,10-15,gelding,106,113,103,159,
307,473,3.0,5-10,gelding,101,119,108,159,
313,343,3.0,>20,gelding,98,117,106,160,
315,70,3.0,10-15,female,100,114,100,160,
317,175,3.0,10-15,female,95,116,99,160,
318,402,3.0,>20,female,105,117,97,160,
320,202,3.0,10-15,stallion,96,112,100,160,
321,421,3.0,10-15,female,91,127,101,161,
322,91,3.0,10-15,stallion,94,120,107,161,
323,424,3.0,10-15,stallion,93,126,98,161,
325,365,3.0,>20,female,97,118,99,161,
327,80,3.0,10-15,female,96,124,106,161,
328,55,3.0,10-15,female,91,121,100,162,
330,135,3.0,10-15,stallion,90,121,106,162,
331,281,3.0,10-15,female,103,122,100,162,
332,327,3.0,>20,female,101,117,105,162,
333,112,3.0,10-15,female,90,120,104,162,
335,425,3.0,15-20,stallion,90,117,103,162,
336,526,3.0,10-15,stallion,97,116,104,162,
337,219,3.0,10-15,stallion,97,120,103,162,
338,66,3.0,15-20,female,97,117,99,163,
340,438,3.0,10-15,female,104,122,101,163,
341,257,3.0,10-15,stallion,89,120,99,163,
342,495,3.0,>20,stallion,90,123,104,163,
343,323,3.0,10-15,female,98,126,101,163,
345,510,3.0,10-15,gelding,95,118,101,163,
346,132,3.0,10-15,stallion,98,120,102,163,
347,64,3.0,10-15,female,100,117,97,164,
350,111,3.0,>20,stallion,101,117,103,164,
351,457,3.0,5-10,stallion,100,120,107,164,
352,56,3.0,10-15,female,94,120,101,164,
353,329,3.0,5-10,stallion,100,115,105,164,
355,537,3.0,>20,gelding,100,117,103,165,
356,124,3.0,10-15,female,106,119,103,165,165.0
358,209,3.0,10-15,female,102,122,101,165,
360,410,3.0,10-15,gelding,98,120,106,165,
361,69,3.0,10-15,female,98,119,97,165,
362,233,3.0,10-15,stallion,101,122,102,165,
363,167,3.0,10-15,gelding,89,119,103,165,
365,118,3.0,10-15,female,103,120,102,165,
366,246,3.0,10-15,female,104,117,103,165,
367,261,3.0,10-15,female,107,121,100,165,
372,337,3.0,5-10,female,99,119,102,166,
376,401,3.0,5-10,stallion,94,119,105,166,
377,144,3.0,5-10,female,97,116,102,167,
378,394,3.0,15-20,female,100,114,100,167,
380,182,3.0,10-15,stallion,96,120,104,167,
382,125,3.0,10-15,female,93,125,107,167,
387,222,3.0,10-15,stallion,99,121,103,168,
388,130,3.0,10-15,stallion,102,119,104,168,
391,328,3.0,10-15,stallion,93,123,112,168,
392,469,3.0,10-15,female,100,119,102,168,
393,215,3.0,15-20,stallion,101,121,104,168,168.0
396,527,3.0,5-10,stallion,98,121,107,169,
397,67,3.0,10-15,female,91,120,102,169,
398,161,3.0,10-15,female,99,121,104,169,
400,505,3.0,10-15,stallion,93,122,103,170,
401,516,3.0,5-10,stallion,98,119,106,170,
403,483,3.0,10-15,stallion,95,122,105,170,
406,179,3.0,10-15,female,107,114,98,170,
407,129,3.0,10-15,stallion,106,119,102,170,
408,236,3.0,15-20,gelding,96,122,102,170,
412,391,3.0,10-15,gelding,99,123,106,171,
413,169,3.0,15-20,gelding,100,121,101,171,
415,136,3.0,10-15,gelding,108,123,102,171,
416,285,3.0,15-20,gelding,98,120,101,171,
417,244,3.0,10-15,stallion,96,121,103,171,
420,468,3.0,5-10,female,101,121,101,172,
421,63,3.0,10-15,female,97,123,101,172,
423,81,3.0,10-15,gelding,90,119,101,172,
426,79,3.0,15-20,female,94,122,107,173,
428,519,3.0,10-15,stallion,107,115,103,173,
430,482,3.0,10-15,gelding,104,118,106,173,
433,426,3.0,>20,gelding,98,129,106,173,
437,280,3.0,10-15,stallion,90,123,102,174,
438,174,3.0,10-15,gelding,103,124,107,174,
441,141,3.0,>20,female,103,121,106,174,
442,430,3.0,10-15,stallion,89,119,105,174,
443,456,3.0,10-15,stallion,100,120,103,174,
445,499,3.0,15-20,stallion,102,118,104,174,
447,194,3.0,15-20,gelding,100,122,102,175,
450,418,3.0,15-20,gelding,100,125,106,175,
451,92,3.0,10-15,female,104,122,103,176,
452,301,3.0,5-10,female,100,118,104,176,
455,289,3.0,5-10,gelding,98,128,104,177,
456,321,3.0,10-15,female,107,123,102,177,
458,498,3.0,5-10,stallion,101,123,105,177,
460,484,3.0,5-10,female,97,121,102,177,
462,109,3.0,10-15,female,106,121,104,178,
466,235,3.0,10-15,gelding,103,123,105,178,
470,253,3.0,15-20,stallion,107,130,105,178,
475,492,3.0,5-10,female,101,120,102,179,
477,267,3.0,>20,female,102,121,102,179,
478,279,3.0,10-15,stallion,102,120,104,179,
480,393,3.0,>20,female,103,126,101,180,
481,462,3.0,10-15,female,101,117,103,180,
482,532,3.0,15-20,female,109,118,105,180,
485,61,3.0,10-15,female,98,127,101,181,
486,406,3.0,10-15,female,103,115,103,181,
488,128,3.0,10-15,female,102,119,98,181,
490,512,3.0,15-20,stallion,101,121,102,183,
491,367,3.0,10-15,gelding,101,125,107,183,
496,78,3.0,5-10,female,103,122,108,183,
497,541,3.0,10-15,stallion,102,126,110,183,
502,375,3.0,15-20,gelding,101,123,110,184,183.0
503,490,3.0,15-20,stallion,99,118,106,184,
511,254,3.0,10-15,gelding,102,123,103,188,
512,139,3.0,10-15,female,105,122,105,188,
513,522,3.0,10-15,stallion,105,122,109,189,
515,544,3.0,5-10,stallion,104,124,110,189,
516,506,3.0,10-15,female,104,122,105,189,
517,252,3.0,10-15,female,101,125,103,190,
521,65,3.0,10-15,female,111,127,106,192,
522,501,3.0,15-20,stallion,99,126,108,193,
523,507,3.0,15-20,stallion,104,131,108,193,
