"","BCS","Age","Sex","Length","Girth","Height","Weight","WeightAlt"
"64","3","10-15","female",100,117,97,164,NA
"234","3","10-15","stallion",101,119,101,164,NA
"329","3","5-10","stallion",100,115,105,164,NA
"457","3","5-10","stallion",100,120,107,164,NA
"118","3","10-15","female",103,120,102,165,NA
"124","3","10-15","female",106,119,103,165,165
"167","3","10-15","gelding",89,119,103,165,NA
"231","3","10-15","stallion",101,116,100,165,NA
"233","3","10-15","stallion",101,122,102,165,NA
"246","3","10-15","female",104,117,103,165,NA
"261","3","10-15","female",107,121,100,165,NA
"410","3","10-15","gelding",98,120,106,165,NA
"537","3",">20","gelding",100,117,103,165,NA
"232","3","10-15","female",96,120,102,166,NA
"294","3","15-20","gelding",103,119,99,166,NA
"401","3","5-10","stallion",94,119,105,166,NA
"125","3","10-15","female",93,125,107,167,NA
"182","3","10-15","stallion",96,120,104,167,NA
"394","3","15-20","female",100,114,100,167,NA
"535","3","10-15","stallion",97,118,107,167,NA
"130","3","10-15","stallion",102,119,104,168,NA
"222","3","10-15","stallion",99,121,103,168,NA
"328","3","10-15","stallion",93,123,112,168,NA
"366","3","5-10","stallion",99,119,104,168,NA
"469","3","10-15","female",100,119,102,168,NA
"93","3","10-15","female",99,120,100,169,NA
"161","3","10-15","female",99,121,104,169,NA
"527","3","5-10","stallion",98,121,107,169,NA
"115","3","10-15","female",102,120,103,170,170
"121","3","10-15","female",96,116,97,170,169
"129","3","10-15","stallion",106,119,102,170,NA
"236","3","15-20","gelding",96,122,102,170,NA
"483","3","10-15","stallion",95,122,105,170,NA
"516","3","5-10","stallion",98,119,106,170,NA
"136","3","10-15","gelding",108,123,102,171,NA
"169","3","15-20","gelding",100,121,101,171,NA
"285","3","15-20","gelding",98,120,101,171,NA
"391","3","10-15","gelding",99,123,106,171,NA
"467","3","5-10","female",104,117,104,171,172
"63","3","10-15","female",97,123,101,172,NA
"81","3","10-15","gelding",90,119,101,172,NA
"79","3","15-20","female",94,122,107,173,NA
"90","3","5-10","female",91,123,97,173,NA
"426","3",">20","gelding",98,129,106,173,NA
"463","3","10-15","stallion",103,120,105,173,NA
"519","3","10-15","stallion",107,115,103,173,NA
"141","3",">20","female",103,121,106,174,NA
"174","3","10-15","gelding",103,124,107,174,NA
"361","3","10-15","female",95,122,109,174,NA
"409","3","10-15","female",104,112,100,174,NA
"430","3","10-15","stallion",89,119,105,174,NA
"456","3","10-15","stallion",100,120,103,174,NA
"194","3","15-20","gelding",100,122,102,175,NA
"403","3",">20","gelding",103,126,106,175,NA
"92","3","10-15","female",104,122,103,176,NA
"301","3","5-10","female",100,118,104,176,NA
"321","3","10-15","female",107,123,102,177,NA
"484","3","5-10","female",97,121,102,177,NA
"498","3","5-10","stallion",101,123,105,177,NA
"109","3","10-15","female",106,121,104,178,NA
"235","3","10-15","gelding",103,123,105,178,NA
"249","3","15-20","female",98,121,103,178,NA
"253","3","15-20","stallion",107,130,105,178,NA
"279","3","10-15","stallion",102,120,104,179,NA
"492","3","5-10","female",101,120,102,179,NA
"518","3","5-10","gelding",105,121,107,179,NA
"393","3",">20","female",103,126,101,180,NA
"462","3","10-15","female",101,117,103,180,NA
"532","3","15-20","female",109,118,105,180,NA
"128","3","10-15","female",102,119,98,181,NA
"406","3","10-15","female",103,115,103,181,NA
"504","3","10-15","female",104,118,100,181,NA
"78","3","5-10","female",103,122,108,183,NA
"367","3","10-15","gelding",101,125,107,183,NA
"502","3","5-10","stallion",97,123,102,183,NA
"512","3","15-20","stallion",101,121,102,183,NA
"541","3","10-15","stallion",102,126,110,183,NA
"375","3","15-20","gelding",101,123,110,184,183
"490","3","15-20","stallion",99,118,106,184,NA
"139","3","10-15","female",105,122,105,188,NA
"254","3","10-15","gelding",102,123,103,188,NA
"506","3","10-15","female",104,122,105,189,NA
"544","3","5-10","stallion",104,124,110,189,NA
"252","3","10-15","female",101,125,103,190,NA
"65","3","10-15","female",111,127,106,192,NA
"501","3","15-20","stallion",99,126,108,193,NA
"507","3","15-20","stallion",104,131,108,193,NA
